DTMNFR;ORGAO;TIPO;SIGLA;SIMBOLO;NOME_LISTA;NUM_ORDEM;NOME_CANDIDATO;PARTIDO_PROPONENTE;INDEPENDENTE
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;163;Ana Francisca Moura Neto Roldão Dias;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;164;Ana Paula Roldão Moura Josefa;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;165;Ricardo Jorge Borges Mariano de Carvalho;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;166;Ana Madalena Moura Neto Dias Roldão;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;167;Marta Cristina Belmonte Pereira;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;168;Carlos Filipe Pereira Alves;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;169;Bruno Filipe Coelho Sanches;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;170;Ana Luísa Rodrigues Horta Barnabé;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;171;Rodrigo Gonçalves da Silva;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;172;Maria de Lurdes Pinto Silva;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;173;Priscila Rodrigues Gomes Mendes;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;174;Ricardo Jorge Afonso Helena;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;175;Graça Alexandra Gonçalves Roque;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;176;Hélder Manuel da Encarnação Barbóz;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;177;Vítor Machado Rodrigues Manuel;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;178;Ana Maria Pinheiro Heitor Almeida Ferreira;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;179;Guilherme Filipe Palma Lopes;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;180;Pedro Hugo Teixeira Alves Luis Moita Barata;PAN;N
